Maven,RubyGems
145,39
180,26
91,34
84,158
128,158
147,158
99,158
75,158
32,25
53,16
30,14
194,40
123,13
85,10
85,20
134,15
134,20
18,27
35,17
79,16
14,28
26,34
198,20
91,10
40,14
51,12
107,24
49,14
62,43
10,43
46,43
35,26
6,10
66,8
66,6
66,8
6,9
8,22
8,10
48,10
8,5
56,5
19,10
20,14
15,10
15,11
97,12
74,12
14,16
12,73
106,14
106,33
35,19
24,104
104,16
20,14
48,18
59,3
96,24
66,2
3,2
20,2
4,2
4,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
21,2
21,2
34,2
26,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,23
4,26
4,4
4,4
4,4
4,4
4,4
4,4
60,4
51,4
5,4
5,4
10,4
23,4
8,4
6,4
6,69
6,4
6,4
6,4
10,4
8,4
8,32
5,34
5,43
12,40
7,46
13,8
4,6
8,6
8,6
26,7
10,7
12,7
25,8
10,13
10,13
20,8
20,12
20,2
14,2
16,8
23,8
18,8
4,9
23,14
22,10
39,10
27,14
39,14
28,10
30,10
34,10
49,8
34,22
10,6
10,16
10,14
71,14
66,15
101,8
14,14
9,16
9,19
9,20
9,99
9,21
9,30
9,47
9,38
11,41
11,47
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
25,11
6,11
21,21
21,65
21,7
21,7
7,7
21,7
21,7
28,7
21,13
21,21
21,13
21,13
21,25
21,13
21,21
21,13
21,13
21,13
21,13
21,13
21,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,13
7,21
7,25
21,25
90,25
90,25
90,25
90,21
90,21
90,21
90,13
90,13
90,21
90,13
90,13
90,13
90,21
90,25
90,13
90,21
90,21
90,21
90,21
90,21
90,21
90,21
90,21
90,21
90,13
90,25
90,25
90,25
90,25
90,25
90,13
90,13
90,13
90,13
90,13
90,21
90,21
90,21
90,25
90,25
90,25
90,13
90,13
90,13
90,11
90,13
90,13
90,8
90,6
90,17
90,13
90,9
90,5
90,13
90,6
90,6
90,9
90,8
90,8
90,5
90,13
90,9
90,17
90,17
90,11
90,11
90,5
90,17
90,17
90,17
90,6
90,6
90,6
90,17
90,11
90,6
90,5
90,17
90,17
90,17
90,17
90,9
90,5
90,5
19,5
19,17
19,17
19,17
19,13
19,6
19,6
19,6
19,6
19,9
19,5
19,6
19,8
19,8
19,8
19,17
19,11
90,9
40,5
40,5
40,9
40,13
40,6
40,9
40,9
40,9
40,9
40,11
40,11
40,17
40,5
40,13
40,13
40,9
40,9
40,11
40,17
40,9
40,9
40,9
40,9
40,5
40,8
40,8
40,13
40,5
40,6
40,6
40,5
40,13
40,6
40,13
40,9
40,6
40,11
40,11
40,6
31,11
31,5
31,9
31,9
31,9
31,28
31,28
31,19
31,9
31,7
31,28
31,9
31,9
31,98
31,9
31,28
31,23
31,98
31,7
31,7
31,20
31,20
31,20
31,28
31,98
31,9
31,28
31,7
31,7
9,11
9,11
9,23
9,11
9,7
9,7
9,7
9,7
48,19
48,98
67,23
6,7
48,7
48,7
48,15
67,9
48,9
48,9
48,9
48,9
48,7
48,11
48,98
48,98
48,9
48,11
48,15
48,19
48,7
48,20
48,9
67,19
67,7
67,17
48,9
48,23
48,28
48,19
48,9
67,9
67,23
67,11
67,28
67,19
67,19
67,28
67,28
67,9
67,9
67,28
67,28
67,6
67,98
67,7
67,9
67,9
67,17
67,9
67,28
67,28
67,11
67,98
67,15
67,98
67,9
67,9
67,98
67,11
67,7
67,11
67,11
67,23
67,11
67,9
67,7
67,7
67,98
67,19
67,23
67,8
67,9
67,28
48,98
48,7
67,7
67,7
67,7
67,17
48,19
67,17
67,19
67,7
67,19
67,19
67,98
67,9
48,98
67,98
67,98
